"Axis-limits","x","obs","calc","bkg","diff","zero","Bi","Li2Te","LiBi","tick-pos","diff/sigma"
13.325647831000001,--,7358.0,0.0,0.0,-262.2,0.0,22.531312559969415,23.442220695754955,20.975167763574433,Bi,0.0
83.16139554899999,--,7249.0,0.0,0.0,-262.2,0.0,23.678167259773662,27.160792082682825,26.425457216616998,-1311.0,0.0
-4785.15,--,7439.0,0.0,0.0,-262.2," ",27.10748883057924,38.866533018757956,34.052273537922346,Li2Te,0.0
13962.15,--,7360.0,0.0,0.0,-262.2," ",38.06239818579128,45.95992492234412,37.79537367815456,-2622.0,0.0
" ",--,7572.0,0.0,0.0,-262.2," ",39.50403301195394,48.138539140452956,42.88602251748412,LiBi,0.0
" ",--,7142.0,0.0,0.0,-262.2," ",44.7543525917064,56.22295498096211,43.68831711548378,-3933.0,0.0
" ",--,7399.0,0.0,0.0,-262.2," ",46.18988549382429,61.810288592260285,51.15660126787601," ",0.0
" ",--,7471.0,0.0,0.0,-262.2," ",46.0237669767544,63.606802015672805,54.606312281837546," ",0.0
" ",--,7409.0,0.0,0.0,-262.2," ",46.64842453646118,70.54638740686644,58.55982435606447," ",0.0
" ",--,7368.0,0.0,0.0,-262.2," ",48.64516573089612,75.55796315090913,59.20325255441289," ",0.0
" ",--,7394.0,0.0,0.0,-262.2," ",56.10544437659726,75.55796315090913,61.733095979109684," ",0.0
" ",--,7583.0,0.0,0.0,-262.2," ",59.733290303880764," ",66.62315490515672," ",0.0
" ",--,7363.0,0.0,0.0,-262.2," ",61.292485390267714," ",66.02423085248417," ",0.0
" ",--,7479.0,0.0,0.0,-262.2," ",62.45445583040524," ",71.9236014171347," ",0.0
" ",--,7515.0,0.0,0.0,-262.2," ",62.82893323732929," ",73.0770159854124," ",0.0
" ",--,7541.0,0.0,0.0,-262.2," ",64.47757984093532," ",78.19610215106265," ",0.0
" ",--,7517.0,0.0,0.0,-262.2," ",67.96939233644453," ",79.31804339940793," ",0.0
" ",--,7503.0,0.0,0.0,-262.2," ",70.87073104620141," "," "," ",0.0
" ",--,7382.0,0.0,0.0,-262.2," ",72.20461873291998," "," "," ",0.0
" ",--,7458.0,0.0,0.0,-262.2," ",71.82632703592954," "," "," ",0.0
" ",--,7631.0,0.0,0.0,-262.2," ",74.0969195058457," "," "," ",0.0
" ",--,7627.0,0.0,0.0,-262.2," ",75.50455563782414," "," "," ",0.0
" ",--,7537.0,0.0,0.0,-262.2," ",76.43804087122248," "," "," ",0.0
" ",--,7616.0,0.0,0.0,-262.2," ",76.43804087122248," "," "," ",0.0
" ",--,7575.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7569.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7527.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7595.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7716.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7676.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7710.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7740.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7652.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7595.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7705.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7785.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7775.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7837.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7859.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7755.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7840.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7614.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7808.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7725.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7830.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8091.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7921.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8026.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7753.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7849.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7864.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7875.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7858.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7984.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8001.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7925.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7811.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7993.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8092.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7881.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7890.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8056.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8019.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8060.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7970.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7955.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8213.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,7969.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
" ",--,8049.0,0.0,0.0,-262.2," "," "," "," "," ",0.0
