"Instparm: Type","PXC"
"Instparm: Lam1",      1.54
"Instparm: Lam2",      1.54
"Instparm: Zero",  0.000000
"Instparm: I(L2)/I(L1)",      0.50
"Instparm: Polariz.",      0.70
"Instparm: U",      2.00
"Instparm: V",     -2.00
"Instparm: W",      5.00
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Azimuth",      0.00
"Instparm: Source","CuKa"
"Instparm: Bank",      1.00
"Samparm: InstrName",
"Samparm: Scale",      0.07
"Samparm: Type",Bragg-Brentano
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"Samparm: Shift",      0.00
"Samparm: Transparency",      0.00
"Samparm: SurfRoughA",      0.00
"Samparm: SurfRoughB",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
5.01313,7358,0.000135906,9059.97,9059.97,0.356752
5.03939,7249,0.00013795,9053.06,9053.06,0.358619
5.06565,7439,0.000134427,9046.15,9046.15,0.360487
5.09191,7360,0.00013587,9039.25,9039.25,0.362354
5.11817,7572,0.000132066,9032.34,9032.34,0.364222
5.14443,7142,0.000140017,9025.45,9025.45,0.366089
5.17069,7399,0.000135153,9018.55,9018.55,0.367957
5.19695,7471,0.000133851,9011.66,9011.66,0.369824
5.22321,7409,0.000134971,9004.77,9004.77,0.371692
5.24948,7368,0.000135722,8997.88,8997.88,0.373559
5.27574,7394,0.000135245,8991,8991,0.375427
5.302,7583,0.000131874,8984.11,8984.11,0.377294
5.32826,7363,0.000135814,8977.24,8977.24,0.379161
5.35452,7479,0.000133708,8970.36,8970.36,0.381029
5.38078,7515,0.000133067,8963.49,8963.49,0.382896
5.40704,7541,0.000132608,8956.62,8956.62,0.384763
5.4333,7517,0.000133032,8949.75,8949.75,0.386631
5.45956,7503,0.00013328,8942.89,8942.89,0.388498
5.48582,7382,0.000135465,8936.03,8936.03,0.390365
5.51208,7458,0.000134084,8929.17,8929.17,0.392233
5.53834,7631,0.000131044,8922.32,8922.32,0.3941
5.5646,7627,0.000131113,8915.46,8915.46,0.395967
5.59086,7537,0.000132679,8908.61,8908.61,0.397834
5.61712,7616,0.000131303,8901.77,8901.77,0.399701
5.64338,7575,0.000132013,8894.92,8894.92,0.401568
5.66964,7569,0.000132118,8888.08,8888.08,0.403436
5.6959,7527,0.000132855,8881.25,8881.25,0.405303
5.72217,7595,0.000131666,8874.41,8874.41,0.40717
5.74843,7716,0.000129601,8867.58,8867.58,0.409037
5.77469,7676,0.000130276,8860.75,8860.75,0.410904
5.80095,7710,0.000129702,8853.93,8853.93,0.412771
5.82721,7740,0.000129199,8847.1,8847.1,0.414638
5.85347,7652,0.000130685,8840.28,8840.28,0.416505
5.87973,7595,0.000131666,8833.47,8833.47,0.418372
5.90599,7705,0.000129786,8826.65,8826.65,0.420239
5.93225,7785,0.000128452,8819.84,8819.84,0.422105
5.95851,7775,0.000128617,8813.03,8813.03,0.423972
5.98477,7837,0.0001276,8806.23,8806.23,0.425839
6.01103,7859,0.000127243,8799.42,8799.42,0.427706
6.03729,7755,0.000128949,8792.62,8792.62,0.429573
6.06355,7840,0.000127551,8785.83,8785.83,0.43144
6.08981,7614,0.000131337,8779.03,8779.03,0.433306
6.11607,7808,0.000128074,8772.24,8772.24,0.435173
6.14233,7725,0.00012945,8765.46,8765.46,0.43704
6.1686,7830,0.000127714,8758.67,8758.67,0.438907
6.19486,8091,0.000123594,8751.89,8751.89,0.440773
6.22112,7921,0.000126247,8745.11,8745.11,0.44264
6.24738,8026,0.000124595,8738.33,8738.33,0.444506
6.27364,7753,0.000128982,8731.56,8731.56,0.446373
6.2999,7849,0.000127405,8724.79,8724.79,0.44824
6.32616,7864,0.000127162,8718.02,8718.02,0.450106
6.35242,7875,0.000126984,8711.26,8711.26,0.451973
6.37868,7858,0.000127259,8704.5,8704.5,0.453839
6.40494,7984,0.00012525,8697.74,8697.74,0.455706
6.4312,8001,0.000124984,8690.98,8690.98,0.457572
6.45746,7925,0.000126183,8684.23,8684.23,0.459439
6.48372,7811,0.000128025,8677.48,8677.48,0.461305
6.50998,7993,0.000125109,8670.73,8670.73,0.463171
6.53624,8092,0.000123579,8663.99,8663.99,0.465038
6.5625,7881,0.000126887,8657.25,8657.25,0.466904
6.58876,7890,0.000126743,8650.51,8650.51,0.46877
6.61502,8056,0.000124131,8643.77,8643.77,0.470637
6.64129,8019,0.000124704,8637.04,8637.04,0.472503
6.66755,8060,0.000124069,8630.31,8630.31,0.474369
6.69381,7970,0.000125471,8623.58,8623.58,0.476235
6.72007,7955,0.000125707,8616.86,8616.86,0.478102
6.74633,8213,0.000121758,8610.14,8610.14,0.479968
6.77259,7969,0.000125486,8603.42,8603.42,0.481834
6.79885,8049,0.000124239,8596.71,8596.71,0.4837
6.82511,8225,0.000121581,8589.99,8589.99,0.485566
6.85137,8039,0.000124394,8583.28,8583.28,0.487432
6.87763,8087,0.000123655,8576.58,8576.58,0.489298
6.90389,8255,0.000121139,8569.88,8569.88,0.491164
6.93015,8185,0.000122175,8563.17,8563.17,0.49303
6.95641,8218,0.000121684,8556.48,8556.48,0.494896
6.98267,8147,0.000122745,8549.78,8549.78,0.496762
7.00893,8102,0.000123426,8543.09,8543.09,0.498628
7.03519,8226,0.000121566,8536.4,8536.4,0.500494
7.06145,8219,0.000121669,8529.72,8529.72,0.50236
7.08771,8148,0.00012273,8523.03,8523.03,0.504226
7.11398,8249,0.000121227,8516.35,8516.35,0.506091
7.14024,8117,0.000123198,8509.68,8509.68,0.507957
7.1665,8255,0.000121139,8503,8503,0.509823
7.19276,8305,0.000120409,8496.33,8496.33,0.511689
7.21902,8362,0.000119589,8489.66,8489.66,0.513554
7.24528,8316,0.00012025,8483,8483,0.51542
7.27154,8289,0.000120642,8476.33,8476.33,0.517286
7.2978,8197,0.000121996,8469.67,8469.67,0.519151
7.32406,8145,0.000122775,8463.02,8463.02,0.521017
7.35032,8321,0.000120178,8456.36,8456.36,0.522882
7.37658,8374,0.000119417,8449.71,8449.71,0.524748
7.40284,8324,0.000120135,8443.07,8443.07,0.526613
7.4291,8329,0.000120062,8436.42,8436.42,0.528479
7.45536,8349,0.000119775,8429.78,8429.78,0.530344
7.48162,8392,0.000119161,8423.14,8423.14,0.53221
7.50788,8299,0.000120496,8416.5,8416.5,0.534075
7.53414,8124,0.000123092,8409.87,8409.87,0.53594
7.56041,8218,0.000121684,8403.24,8403.24,0.537806
7.58667,8308,0.000120366,8396.61,8396.61,0.539671
7.61293,8283,0.000120729,8389.99,8389.99,0.541536
7.63919,8399,0.000119062,8383.37,8383.37,0.543402
7.66545,8283,0.000120729,8376.75,8376.75,0.545267
7.69171,8174,0.000122339,8370.13,8370.13,0.547132
7.71797,8333,0.000120005,8363.52,8363.52,0.548997
7.74423,8360,0.000119617,8356.91,8356.91,0.550862
7.77049,8389,0.000119204,8350.3,8350.3,0.552727
7.79675,8420,0.000118765,8343.7,8343.7,0.554593
7.82301,8300,0.000120482,8337.1,8337.1,0.556458
7.84927,8373,0.000119432,8330.5,8330.5,0.558323
7.87553,8288,0.000120656,8323.9,8323.9,0.560188
7.90179,8187,0.000122145,8317.31,8317.31,0.562053
7.92805,8441,0.000118469,8310.72,8310.72,0.563917
7.95431,8350,0.00011976,8304.13,8304.13,0.565782
7.98057,8254,0.000121153,8297.55,8297.55,0.567647
8.00683,8342,0.000119875,8290.97,8290.97,0.569512
8.0331,8168,0.000122429,8284.39,8284.39,0.571377
8.05936,8131,0.000122986,8277.82,8277.82,0.573242
8.08562,8308,0.000120366,8271.24,8271.24,0.575106
8.11188,8351,0.000119746,8264.67,8264.67,0.576971
8.13814,8362,0.000119589,8258.11,8258.11,0.578836
8.1644,8116,0.000123213,8251.54,8251.54,0.580701
8.19066,8259,0.00012108,8244.98,8244.98,0.582565
8.21692,8200,0.000121951,8238.43,8238.43,0.58443
8.24318,8220,0.000121655,8231.87,8231.87,0.586294
8.26944,8358,0.000119646,8225.32,8225.32,0.588159
8.2957,8289,0.000120642,8218.77,8218.77,0.590023
8.32196,8360,0.000119617,8212.23,8212.23,0.591888
8.34822,8491,0.000117772,8205.68,8205.68,0.593752
8.37448,8289,0.000120642,8199.14,8199.14,0.595617
8.40074,8244,0.0001213,8192.6,8192.6,0.597481
8.427,8314,0.000120279,8186.07,8186.07,0.599345
8.45326,8238,0.000121389,8179.54,8179.54,0.60121
8.47952,8434,0.000118568,8173.01,8173.01,0.603074
8.50579,8310,0.000120337,8166.49,8166.49,0.604938
8.53205,8288,0.000120656,8159.96,8159.96,0.606803
8.55831,8367,0.000119517,8153.44,8153.44,0.608667
8.58457,8147,0.000122745,8146.93,8146.93,0.610531
8.61083,8508,0.000117536,8140.41,8140.41,0.612395
8.63709,8301,0.000120467,8133.9,8133.9,0.614259
8.66335,8369,0.000119489,8127.39,8127.39,0.616123
8.68961,8150,0.000122699,8120.89,8120.89,0.617987
8.71587,8326,0.000120106,8114.39,8114.39,0.619851
8.74213,8132,0.000122971,8107.89,8107.89,0.621715
8.76839,8166,0.000122459,8101.39,8101.39,0.623579
8.79465,8225,0.000121581,8094.9,8094.9,0.625443
8.82091,8172,0.000122369,8088.41,8088.41,0.627307
8.84717,8456,0.000118259,8081.92,8081.92,0.629171
8.87343,8298,0.000120511,8075.44,8075.44,0.631035
8.89969,8201,0.000121936,8068.95,8068.95,0.632898
8.92595,8334,0.00011999,8062.47,8062.47,0.634762
8.95222,8111,0.000123289,8056,8056,0.636626
8.97848,8258,0.000121095,8049.53,8049.53,0.638489
9.00474,8251,0.000121197,8043.06,8043.06,0.640353
9.031,8144,0.00012279,8036.59,8036.59,0.642217
9.05726,8049,0.000124239,8030.12,8030.12,0.64408
9.08352,8251,0.000121197,8023.66,8023.66,0.645944
9.10978,8080,0.000123762,8017.2,8017.2,0.647807
9.13604,8225,0.000121581,8010.75,8010.75,0.649671
9.1623,8233,0.000121462,8004.3,8004.3,0.651534
9.18856,8127,0.000123047,7997.85,7997.85,0.653398
9.21482,8152,0.000122669,7991.4,7991.4,0.655261
9.24108,8296,0.00012054,7984.96,7984.96,0.657124
9.26734,7911,0.000126406,7978.52,7978.52,0.658988
9.2936,8133,0.000122956,7972.08,7972.08,0.660851
9.31986,8048,0.000124254,7965.64,7965.64,0.662714
9.34612,8175,0.000122324,7959.21,7959.21,0.664577
9.37238,8203,0.000121907,7952.78,7952.78,0.66644
9.39864,8045,0.000124301,7946.35,7946.35,0.668303
9.42491,8061,0.000124054,7939.93,7939.93,0.670167
9.45117,7997,0.000125047,7933.51,7933.51,0.67203
9.47743,8078,0.000123793,7927.09,7927.09,0.673893
9.50369,8234,0.000121448,7920.68,7920.68,0.675756
9.52995,8053,0.000124177,7914.27,7914.27,0.677619
9.55621,8087,0.000123655,7907.86,7907.86,0.679481
9.58247,7964,0.000125565,7901.45,7901.45,0.681344
9.60873,7945,0.000125865,7895.05,7895.05,0.683207
