"Instparm: Type","PNC"
"Instparm: Lam",  1.909000
"Instparm: Zero", -0.001000
"Instparm: Polariz.",      0.00
"Instparm: U",    354.03
"Instparm: V",   -760.40
"Instparm: W",    651.59
"Instparm: X",      0.00
"Instparm: Y",      0.00
"Instparm: Z",      0.00
"Instparm: SH/L",      0.00
"Instparm: Azimuth",      0.00
"Instparm: Source"," "
"Instparm: Bank",      1.00
"Samparm: InstrName",
"Samparm: Scale",   7113.31
"Samparm: Type",Debye-Scherrer
"Samparm: DisplaceX",      0.00
"Samparm: DisplaceY",      0.00
"Samparm: Temperature",    300.00
"Samparm: Pressure",      0.10
"Samparm: Time",      0.00
"Samparm: Gonio. radius",    200.00
"Samparm: Omega",      0.00
"Samparm: Chi",      0.00
"Samparm: Phi",      0.00
"Samparm: Azimuth",      0.00
"x","y_obs","weight","y_calc","y_bkg","Q"
10,220,0.00454545,196.266,196.255,0.573777
10.05,214,0.0046729,196.303,196.292,0.576638
10.1,219,0.00456621,196.341,196.33,0.5795
10.15,224,0.00446429,196.379,196.367,0.582361
10.2,198,0.00505051,196.416,196.405,0.585222
10.25,229,0.00436681,196.454,196.442,0.588082
10.3,224,0.00446429,196.491,196.48,0.590943
10.35,216,0.00462963,196.529,196.517,0.593804
10.4,202,0.0049505,196.566,196.555,0.596664
10.45,229,0.00436681,196.604,196.592,0.599524
10.5,202,0.0049505,196.641,196.63,0.602385
10.55,215,0.00465116,196.679,196.667,0.605245
10.6,215,0.00465116,196.716,196.704,0.608105
10.65,196,0.00510204,196.754,196.742,0.610965
10.7,235,0.00425532,196.791,196.779,0.613825
10.75,207,0.00483092,196.828,196.816,0.616684
10.8,205,0.00487805,196.871,196.854,0.619544
10.85,238,0.00420168,196.908,196.891,0.622403
10.9,202,0.0049505,196.946,196.928,0.625263
10.95,213,0.00469484,196.983,196.965,0.628122
11,226,0.00442478,197.02,197.002,0.630981
11.05,198,0.00505051,197.057,197.04,0.63384
11.1,222,0.0045045,197.095,197.077,0.636699
11.15,186,0.00537634,197.132,197.114,0.639557
11.2,216,0.00462963,197.169,197.151,0.642416
11.25,218,0.00458716,197.206,197.188,0.645274
11.3,225,0.00444444,197.244,197.225,0.648133
11.35,200,0.005,197.281,197.262,0.650991
11.4,196,0.00510204,197.318,197.299,0.653849
11.45,224,0.00446429,197.355,197.336,0.656707
11.5,199,0.00502513,197.392,197.373,0.659565
11.55,204,0.00490196,197.429,197.41,0.662423
11.6,189,0.00529101,197.466,197.447,0.66528
11.65,211,0.00473934,197.503,197.484,0.668138
11.7,190,0.00526316,197.54,197.521,0.670995
11.75,184,0.00543478,197.579,197.558,0.673852
11.8,204,0.00490196,197.616,197.595,0.676709
11.85,204,0.00490196,197.653,197.632,0.679566
11.9,219,0.00456621,197.69,197.668,0.682423
11.95,207,0.00483092,197.727,197.705,0.68528
12,227,0.00440529,197.764,197.742,0.688136
12.05,211,0.00947867,197.801,197.779,0.690993
12.1,193,0.0103627,197.837,197.815,0.693849
12.15,206,0.00970874,197.874,197.852,0.696705
12.2,208,0.00961538,197.911,197.889,0.699561
12.25,191,0.0104712,197.948,197.926,0.702417
12.3,194,0.0103093,197.985,197.962,0.705273
12.35,185,0.0108108,198.021,197.999,0.708129
12.4,200,0.01,198.058,198.035,0.710984
12.45,203,0.00985222,198.095,198.072,0.71384
12.5,197,0.0101523,198.131,198.109,0.716695
12.55,203,0.00985222,198.168,198.145,0.71955
12.6,200,0.01,198.205,198.182,0.722405
12.65,200,0.01,198.241,198.218,0.72526
12.7,205,0.0097561,198.278,198.255,0.728114
12.75,208,0.00961538,198.315,198.291,0.730969
12.8,205,0.0097561,198.351,198.327,0.733823
12.85,201,0.00995025,198.388,198.364,0.736678
12.9,221,0.00904977,198.424,198.4,0.739532
12.95,218,0.00917431,198.461,198.437,0.742386
13,218,0.00917431,198.497,198.473,0.74524
13.05,216,0.00925926,198.534,198.509,0.748093
13.1,202,0.00990099,198.57,198.546,0.750947
13.15,206,0.00970874,198.607,198.582,0.7538
13.2,197,0.0101523,198.643,198.618,0.756654
13.25,210,0.00952381,198.679,198.654,0.759507
13.3,199,0.0100503,198.716,198.691,0.76236
13.35,219,0.00913242,198.752,198.727,0.765213
13.4,192,0.0104167,198.788,198.763,0.768065
13.45,211,0.00947867,198.825,198.799,0.770918
13.5,199,0.0100503,198.861,198.835,0.77377
13.55,196,0.0102041,198.897,198.871,0.776623
13.6,195,0.0102564,198.934,198.908,0.779475
13.65,203,0.00985222,198.97,198.944,0.782327
13.7,202,0.00990099,199.006,198.98,0.785178
13.75,200,0.01,199.042,199.016,0.78803
13.8,199,0.0100503,199.079,199.052,0.790882
13.85,191,0.0104712,199.115,199.088,0.793733
13.9,204,0.00980392,199.151,199.124,0.796584
13.95,191,0.0104712,199.187,199.16,0.799435
14,200,0.01,199.223,199.196,0.802286
14.05,199,0.0100503,199.259,199.231,0.805137
14.1,197,0.0101523,199.295,199.267,0.807987
14.15,202,0.00990099,199.331,199.303,0.810838
14.2,210,0.00952381,199.367,199.339,0.813688
14.25,202,0.00990099,199.403,199.375,0.816538
14.3,198,0.010101,199.439,199.411,0.819388
14.35,191,0.0104712,199.475,199.446,0.822238
14.4,194,0.0103093,199.511,199.482,0.825088
14.45,198,0.010101,199.547,199.518,0.827937
14.5,194,0.0103093,199.583,199.554,0.830787
14.55,193,0.0103627,199.619,199.589,0.833636
14.6,212,0.00943396,199.661,199.625,0.836485
14.65,214,0.00934579,199.697,199.661,0.839334
14.7,197,0.0101523,199.733,199.696,0.842183
14.75,195,0.0102564,199.769,199.732,0.845031
14.8,205,0.0097561,199.805,199.767,0.847879
14.85,209,0.00956938,199.84,199.803,0.850728
14.9,203,0.00985222,199.876,199.839,0.853576
14.95,197,0.0101523,199.912,199.874,0.856424
15,191,0.0104712,199.948,199.91,0.859271
15.05,192,0.0104167,199.984,199.945,0.862119
15.1,215,0.00930233,200.019,199.98,0.864966
15.15,194,0.0103093,200.055,200.016,0.867814
15.2,189,0.010582,200.091,200.051,0.870661
15.25,188,0.0106383,200.127,200.087,0.873508
15.3,202,0.00990099,200.162,200.122,0.876355
15.35,201,0.00995025,200.198,200.157,0.879201
15.4,198,0.010101,200.234,200.193,0.882048
15.45,208,0.00961538,200.269,200.228,0.884894
15.5,197,0.0101523,200.305,200.263,0.88774
15.55,187,0.0106952,200.34,200.299,0.890586
15.6,187,0.0106952,200.376,200.334,0.893432
15.65,190,0.0105263,200.412,200.369,0.896277
15.7,197,0.0101523,200.45,200.404,0.899123
15.75,200,0.01,200.485,200.44,0.901968
15.8,193,0.0103627,200.521,200.475,0.904813
15.85,180,0.0111111,200.556,200.51,0.907658
15.9,194,0.0103093,200.593,200.545,0.910502
15.95,206,0.00970874,200.628,200.58,0.913347
16,195,0.0102564,200.664,200.615,0.916191
16.05,193,0.0103627,200.699,200.65,0.919036
16.1,205,0.0097561,200.735,200.685,0.92188
16.15,194,0.0103093,200.77,200.72,0.924723
16.2,196,0.0102041,200.806,200.755,0.927567
16.25,194,0.0103093,200.841,200.79,0.930411
16.3,199,0.0100503,200.877,200.825,0.933254
16.35,207,0.00966184,200.912,200.86,0.936097
16.4,188,0.0106383,200.947,200.895,0.93894
16.45,203,0.00985222,200.983,200.93,0.941783
16.5,188,0.0106383,201.018,200.965,0.944625
16.55,180,0.0111111,201.054,201,0.947468
16.6,198,0.010101,201.089,201.034,0.95031
16.65,200,0.01,201.124,201.069,0.953152
16.7,201,0.00995025,201.16,201.104,0.955994
16.75,210,0.00952381,201.195,201.139,0.958836
16.8,206,0.00970874,201.231,201.173,0.961677
16.85,189,0.010582,201.266,201.208,0.964519
16.9,194,0.0103093,201.301,201.243,0.96736
16.95,187,0.0106952,201.337,201.278,0.970201
17,195,0.0102564,201.372,201.312,0.973042
17.05,201,0.00995025,201.408,201.347,0.975882
17.1,197,0.0101523,201.443,201.381,0.978723
17.15,206,0.00970874,201.478,201.416,0.981563
17.2,208,0.00961538,201.514,201.451,0.984403
17.25,199,0.0100503,201.549,201.485,0.987243
17.3,192,0.0104167,201.585,201.52,0.990082
17.35,193,0.0103627,201.62,201.554,0.992922
17.4,204,0.00980392,201.656,201.589,0.995761
17.45,201,0.00995025,201.691,201.623,0.9986
17.5,200,0.01,201.727,201.658,1.00144
17.55,177,0.0112994,201.762,201.692,1.00428
17.6,193,0.0103627,201.798,201.726,1.00712
17.65,199,0.0100503,201.833,201.761,1.00995
17.7,201,0.00995025,201.869,201.795,1.01279
17.75,194,0.0103093,201.905,201.829,1.01563
17.8,184,0.0108696,201.94,201.864,1.01847
17.85,192,0.0104167,201.976,201.898,1.02131
17.9,199,0.0100503,202.012,201.932,1.02414
17.95,190,0.0105263,202.048,201.967,1.02698
18,183,0.010929,202.084,202.001,1.02982
18.05,189,0.015873,202.12,202.035,1.03265
18.1,196,0.0153061,202.156,202.069,1.03549
18.15,196,0.0153061,202.192,202.103,1.03833
18.2,198,0.0151515,202.228,202.137,1.04116
18.25,210,0.0142857,202.265,202.172,1.044
18.3,212,0.0141509,202.301,202.206,1.04684
18.35,219,0.0136986,202.338,202.24,1.04967
18.4,198,0.0151515,202.374,202.274,1.05251
18.45,195,0.0153846,202.411,202.308,1.05534
18.5,198,0.0151515,202.448,202.342,1.05818
18.55,191,0.0157068,202.486,202.376,1.06101
18.6,193,0.015544,202.523,202.41,1.06385
18.65,197,0.0152284,202.561,202.444,1.06668
18.7,194,0.0154639,202.599,202.478,1.06951
18.75,187,0.0160428,202.637,202.512,1.07235
18.8,209,0.0143541,202.676,202.546,1.07518
18.85,187,0.0160428,202.715,202.579,1.07802
18.9,198,0.0151515,202.755,202.613,1.08085
18.95,206,0.0145631,202.795,202.647,1.08368
19,197,0.0152284,202.835,202.681,1.08652
19.05,191,0.0157068,202.877,202.715,1.08935
19.1,200,0.015,202.919,202.748,1.09218
19.15,207,0.0144928,202.962,202.782,1.09501
19.2,205,0.0146341,203.006,202.816,1.09784
19.25,198,0.0151515,203.051,202.85,1.10068
19.3,196,0.0153061,203.097,202.883,1.10351
19.35,209,0.0143541,203.146,202.917,1.10634
19.4,211,0.014218,203.199,202.951,1.10917
19.45,203,0.0147783,203.257,202.984,1.112
19.5,200,0.015,203.326,203.018,1.11483
19.55,192,0.015625,203.415,203.051,1.11766
19.6,208,0.0144231,203.543,203.085,1.12049
19.65,213,0.0140845,203.743,203.118,1.12332
19.7,221,0.0135747,204.074,203.152,1.12615
19.75,216,0.0138889,204.627,203.185,1.12898
19.8,226,0.0132743,205.539,203.219,1.13181
19.85,228,0.0131579,207.004,203.252,1.13464
19.9,228,0.0131579,209.263,203.286,1.13747
19.95,215,0.0139535,212.592,203.319,1.1403
20,224,0.0133929,217.256,203.353,1.14313
20.05,226,0.0132743,223.45,203.386,1.14596
20.1,213,0.0140845,231.212,203.419,1.14879
20.15,239,0.0125523,240.351,203.453,1.15161
20.2,250,0.012,250.396,203.486,1.15444
20.25,247,0.0121457,260.591,203.519,1.15727
20.3,240,0.0125,269.968,203.552,1.1601
20.35,231,0.012987,277.474,203.586,1.16292
20.4,236,0.0127119,282.159,203.619,1.16575
20.45,223,0.0134529,283.378,203.652,1.16858
20.5,231,0.012987,280.961,203.685,1.17141
20.55,226,0.0132743,275.258,203.718,1.17423
20.6,214,0.0140187,267.043,203.751,1.17706
20.65,208,0.0144231,257.327,203.785,1.17988
20.7,214,0.0140187,247.151,203.818,1.18271
20.75,196,0.0153061,237.419,203.851,1.18553
20.8,204,0.0147059,228.792,203.884,1.18836
20.85,199,0.0150754,221.641,203.917,1.19118
20.9,186,0.016129,216.067,203.95,1.19401
20.95,192,0.015625,211.966,203.983,1.19683
21,199,0.0150754,209.113,204.016,1.19966
21.05,200,0.015,207.231,204.049,1.20248
21.1,184,0.0163043,206.053,204.081,1.20531
21.15,184,0.0163043,205.353,204.114,1.20813
21.2,189,0.015873,204.959,204.147,1.21095
21.25,182,0.0164835,204.75,204.18,1.21378
21.3,184,0.0163043,204.648,204.213,1.2166
21.35,185,0.0162162,204.604,204.246,1.21942
21.4,195,0.0153846,204.59,204.279,1.22224
21.45,190,0.0157895,204.594,204.311,1.22507
21.5,194,0.0154639,204.61,204.344,1.22789
21.55,185,0.0162162,204.626,204.377,1.23071
21.6,183,0.0163934,204.646,204.409,1.23353
21.65,193,0.015544,204.667,204.442,1.23635
21.7,194,0.0154639,204.69,204.475,1.23917
21.75,193,0.015544,204.714,204.507,1.24199
21.8,188,0.0159574,204.739,204.54,1.24481
21.85,191,0.0157068,204.764,204.573,1.24763
21.9,189,0.015873,204.791,204.605,1.25045
21.95,188,0.0159574,204.818,204.638,1.25327
22,201,0.0149254,204.845,204.67,1.25609
22.05,195,0.0153846,204.873,204.703,1.25891
22.1,205,0.0146341,204.902,204.735,1.26173
22.15,200,0.015,204.931,204.768,1.26455
22.2,200,0.015,204.96,204.8,1.26737
22.25,192,0.015625,204.99,204.833,1.27019
22.3,197,0.0152284,205.02,204.865,1.27301
22.35,204,0.0147059,205.05,204.897,1.27582
22.4,207,0.0144928,205.08,204.93,1.27864
22.45,192,0.015625,205.11,204.962,1.28146
22.5,201,0.0149254,205.141,204.994,1.28428
22.55,190,0.0157895,205.172,205.027,1.28709
22.6,195,0.0153846,205.203,205.059,1.28991
22.65,194,0.0154639,205.234,205.091,1.29273
22.7,182,0.0164835,205.265,205.124,1.29554
22.75,189,0.015873,205.297,205.156,1.29836
22.8,196,0.0153061,205.329,205.188,1.30117
22.85,196,0.0153061,205.361,205.22,1.30399
22.9,200,0.015,205.393,205.252,1.30681
22.95,190,0.0157895,205.424,205.284,1.30962
23,183,0.0163934,205.456,205.316,1.31244
23.05,199,0.0150754,205.488,205.349,1.31525
23.1,187,0.0160428,205.52,205.381,1.31806
23.15,196,0.0153061,205.553,205.413,1.32088
23.2,191,0.0157068,205.585,205.445,1.32369
23.25,191,0.0157068,205.617,205.477,1.3265
23.3,195,0.0153846,205.649,205.509,1.32932
23.35,194,0.0154639,205.682,205.541,1.33213
23.4,192,0.015625,205.714,205.573,1.33494
23.45,182,0.0164835,205.747,205.604,1.33776
23.5,188,0.0159574,205.779,205.636,1.34057
23.55,203,0.0147783,205.812,205.668,1.34338
23.6,187,0.0160428,205.845,205.7,1.34619
23.65,192,0.015625,205.877,205.732,1.349
23.7,206,0.0145631,205.91,205.764,1.35181
23.75,201,0.0149254,205.943,205.796,1.35463
23.8,184,0.0163043,205.976,205.827,1.35744
23.85,192,0.015625,206.009,205.859,1.36025
23.9,205,0.0146341,206.042,205.891,1.36306
23.95,196,0.0153061,206.075,205.922,1.36587
24,193,0.015544,206.108,205.954,1.36868
24.05,194,0.0206186,206.142,205.986,1.37149
24.1,195,0.0205128,206.175,206.017,1.37429
24.15,194,0.0206186,206.209,206.049,1.3771
24.2,201,0.0199005,206.242,206.081,1.37991
24.25,193,0.0207254,206.276,206.112,1.38272
24.3,176,0.0227273,206.31,206.144,1.38553
24.35,187,0.0213904,206.344,206.175,1.38834
24.4,188,0.0212766,206.379,206.207,1.39114
24.45,196,0.0204082,206.413,206.238,1.39395
24.5,192,0.0208333,206.448,206.27,1.39676
24.55,185,0.0216216,206.483,206.301,1.39956
24.6,195,0.0205128,206.518,206.333,1.40237
24.65,198,0.020202,206.553,206.364,1.40518
24.7,205,0.0195122,206.589,206.396,1.40798
24.75,200,0.02,206.63,206.427,1.41079
24.8,208,0.0192308,206.667,206.458,1.41359
24.85,195,0.0205128,206.705,206.49,1.4164
24.9,187,0.0213904,206.744,206.521,1.4192
24.95,193,0.0207254,206.787,206.552,1.42201
25,197,0.0203046,206.834,206.583,1.42481
25.05,202,0.019802,206.892,206.615,1.42762
25.1,193,0.0207254,206.969,206.646,1.43042
25.15,196,0.0204082,207.08,206.677,1.43322
